Department,Region,quarter,Revenue,Revenue Goal,Margin,Margin Goal,Sales Quantity,Customers,KPi Achieved
Sales Engineering,Jawa,2017Q1,957.67,1385.11,0.25,0.41,5,20,NO
Sales Operations,Sumatra,2017Q1,9202.56,5348.92,0.18,0.21,72,379,YES
Inside Sales,Kalimantan,2017Q1,8925.48,3332.88,0.17,0.22,65,249,YES
Outside Sales,Papua,2017Q1,7760.79,5201.88,0.28,0.22,64,189,YES
Account Management,Sulawesi,2017Q1,4926.41,3342.61,0.2,0.17,36,111,YES
Business Development,NTB,2017Q1,2661.81,2705.77,0.1,0.15,23,82,NO
Sales Enablement,Bali,2017Q1,3380.88,1593.3,0.34,0.42,28,66,YES
Channel Sales,Jawa,2017Q1,334.81,2289.57,0.26,0.56,2,4,NO
Key Accounts,Sumatra,2017Q1,9293.05,7360.52,0.12,0.25,82,157,YES
Sales Analytics,Kalimantan,2017Q1,8543.92,2808.59,0.23,0.24,74,155,YES
Customer Success,Papua,2017Q1,6608.53,4771.14,0.34,0.22,52,128,YES
Sales Training,Sulawesi,2017Q1,4611.56,4179.38,0.39,0.29,35,116,YES
Strategic Partnerships,NTB,2017Q1,4677.51,3472.14,0.42,0.31,39,99,YES
Sales Support,Bali,2017Q1,5585.41,3609.96,0.44,0.33,45,187,YES
Retail Sales,Jawa,2017Q1,7965.4,3634.88,0.3,0.24,57,277,YES
E-commerce Sales,Sumatra,2017Q1,5227.63,3720.17,0.23,0.28,39,171,YES
Enterprise Sales,Kalimantan,2017Q1,6891.94,4472.06,0.24,0.15,59,328,YES
International Sales,Papua,2017Q1,2088.03,4209.9,0.36,0.26,14,59,NO
Sales Administration,Sulawesi,2017Q1,329.6,1782.99,0.65,0.41,2,4,NO
Sales Engineering,NTB,2017Q1,2127.3,916.46,0.67,0.38,15,54,YES
Sales Operations,Bali,2017Q1,4254.94,6634.21,0.14,0.2,29,95,NO
Inside Sales,Jawa,2017Q1,3434.85,1866.25,0.1,0.2,29,117,YES
Outside Sales,Sumatra,2017Q1,2372.89,6883.63,0.17,0.16,18,100,NO
Account Management,Kalimantan,2017Q1,6643.89,4558.72,0.2,0.2,59,220,YES
Business Development,Papua,2017Q1,1092.59,2411.4,0.24,0.19,6,13,NO
Sales Enablement,Sulawesi,2017Q1,550.47,2019.56,0.46,0.4,2,6,NO
Channel Sales,NTB,2017Q1,342.03,1145.52,0.7,0.5,2,7,NO
Key Accounts,Bali,2017Q1,8118.58,5207.95,0.14,0.25,65,321,YES
Sales Analytics,Jawa,2017Q1,3480.06,2304.79,0.25,0.31,30,102,YES
Customer Success,Sumatra,2017Q1,3698.51,1918.9,0.37,0.26,29,84,YES
Sales Training,Kalimantan,2017Q1,353.35,4766.36,0.22,0.27,3,7,NO
Strategic Partnerships,Papua,2017Q1,4526.29,5324.77,0.22,0.31,34,176,NO
Sales Support,Sulawesi,2017Q1,6903.2,2352.8,0.51,0.27,50,114,YES
Retail Sales,NTB,2017Q1,5081.56,4357.99,0.32,0.21,44,111,YES
E-commerce Sales,Bali,2017Q1,4452.24,4859.38,0.32,0.33,34,154,NO
Enterprise Sales,Jawa,2017Q1,1904.75,1359.16,0.24,0.16,16,60,YES
International Sales,Sumatra,2017Q1,5843.35,4154.07,0.33,0.27,50,91,YES
Sales Administration,Kalimantan,2017Q1,955.38,571.03,0.47,0.5,9,18,YES
Sales Engineering,Papua,2017Q1,526.92,1682.06,0.43,0.49,2,7,NO
Sales Operations,Sulawesi,2017Q1,6067.64,5934.8,0.1,0.22,44,223,YES
Inside Sales,NTB,2017Q1,4443.49,3249.22,0.09,0.18,34,176,YES
Outside Sales,Bali,2017Q1,563.83,6566.59,0.2,0.24,3,13,NO
Account Management,Jawa,2017Q1,3929.95,2280.89,0.23,0.15,33,151,YES
Business Development,Sumatra,2017Q1,2627.84,4331.91,0.25,0.16,23,44,NO
Sales Enablement,Kalimantan,2017Q1,500.37,1363.44,0.74,0.54,3,8,NO
Channel Sales,Papua,2017Q1,3195.32,1399.64,0.78,0.5,23,127,YES
Key Accounts,Sulawesi,2017Q1,5617.84,7606.22,0.29,0.31,41,209,NO
Sales Analytics,NTB,2017Q1,8116.91,2493.35,0.31,0.31,72,262,YES
Customer Success,Bali,2017Q1,4385.61,2827.63,0.12,0.27,39,220,YES
Sales Training,Jawa,2017Q1,3285.5,5256.32,0.3,0.35,26,43,NO
Strategic Partnerships,Sumatra,2017Q1,3740.92,2109.87,0.47,0.31,30,75,YES
Sales Support,Kalimantan,2017Q1,10277.29,3413.91,0.51,0.38,78,139,YES
Retail Sales,Papua,2017Q1,873.01,5032.87,0.17,0.22,8,39,NO
E-commerce Sales,Sulawesi,2017Q1,7597.94,7778.48,0.15,0.29,62,125,NO
Enterprise Sales,NTB,2017Q1,5597.52,1431.3,0.08,0.2,45,196,YES
International Sales,Bali,2017Q1,2992.56,3093.93,0.27,0.26,26,50,NO
Sales Administration,Jawa,2017Q1,1898.54,1938.61,0.38,0.5,16,71,NO
Sales Engineering,Sumatra,2017Q1,1612.38,1304.54,0.4,0.47,11,60,YES
Sales Operations,Kalimantan,2017Q1,2501.97,2316.12,0.26,0.2,17,91,YES
Inside Sales,Papua,2017Q1,3783.86,4639.71,0.14,0.18,30,62,NO
Outside Sales,Sulawesi,2017Q1,4337.05,6893.16,0.15,0.23,35,202,NO
Account Management,NTB,2017Q1,3567.21,1772.81,0.25,0.17,30,77,YES
Business Development,Bali,2017Q1,6418.92,3026.59,0.09,0.19,50,244,YES
Sales Enablement,Jawa,2017Q1,3023.44,1269.27,0.4,0.42,24,85,YES
Channel Sales,Sumatra,2017Q1,1961.97,2380.75,0.72,0.54,14,77,NO
Key Accounts,Kalimantan,2017Q1,10296.82,5872.81,0.37,0.28,81,287,YES
Sales Analytics,Papua,2017Q1,1522.8,3231.53,0.15,0.31,12,33,NO
Customer Success,Sulawesi,2017Q1,348.38,3833.37,0.21,0.28,2,7,NO
Sales Training,NTB,2017Q1,5763.69,5308.72,0.17,0.3,44,146,YES
Strategic Partnerships,Bali,2017Q1,10291.9,5909.17,0.34,0.36,80,273,YES
Sales Support,Jawa,2017Q1,8510.17,2286.17,0.51,0.34,64,187,YES
Retail Sales,Sumatra,2017Q1,4371.6,5253.7,0.16,0.23,38,214,NO
E-commerce Sales,Kalimantan,2017Q1,8695.86,5885.47,0.17,0.33,71,290,YES
Enterprise Sales,Papua,2017Q1,3157.24,4836.86,0.08,0.15,23,125,NO
International Sales,Sulawesi,2017Q1,1333.84,2151.32,0.2,0.27,10,45,NO
Sales Administration,NTB,2017Q1,992.13,1926.65,0.67,0.5,5,28,NO
Sales Engineering,Bali,2017Q1,732.44,1464.21,0.49,0.38,5,13,NO
Sales Operations,Jawa,2017Q1,2998.51,4493.55,0.2,0.18,26,114,NO
Inside Sales,Sumatra,2017Q1,8959.13,2527.34,0.24,0.22,68,301,YES
Outside Sales,Kalimantan,2017Q1,5819.47,6095.68,0.22,0.22,52,206,NO
Account Management,Papua,2017Q1,328.18,1472.76,0.2,0.18,3,9,NO
Business Development,Sulawesi,2017Q1,4686.47,4277.94,0.15,0.18,39,122,YES
Sales Enablement,NTB,2017Q1,1807.53,1867.2,0.38,0.6,11,50,NO
Channel Sales,Bali,2017Q1,1754.73,2212.32,0.62,0.46,11,54,NO
Key Accounts,Jawa,2017Q1,996,2378.36,0.25,0.28,9,37,NO
Sales Analytics,Sumatra,2017Q1,2422.67,5685.08,0.21,0.3,17,91,NO
Customer Success,Kalimantan,2017Q1,5853.14,5158.56,0.39,0.21,45,214,YES
Sales Training,Papua,2017Q1,3932.93,5026.22,0.26,0.33,33,152,NO
Strategic Partnerships,Sulawesi,2017Q1,2891.02,3264.32,0.17,0.3,22,39,NO
Sales Support,NTB,2017Q1,4070.49,5327.96,0.22,0.38,30,101,NO
Retail Sales,Bali,2017Q1,1663,3425.43,0.22,0.18,14,57,NO
E-commerce Sales,Jawa,2017Q1,8509.25,5029.52,0.28,0.28,64,186,YES
Enterprise Sales,Sumatra,2017Q1,2288.89,1386.12,0.27,0.17,17,87,YES
International Sales,Kalimantan,2017Q1,7660.96,2369.42,0.21,0.21,60,336,YES
Sales Administration,Papua,2017Q1,1397.3,1838.1,0.54,0.45,10,48,NO
Sales Engineering,Sulawesi,2017Q1,1511.06,1784.92,0.41,0.52,11,57,NO
Sales Operations,NTB,2017Q1,6961.32,5687.83,0.17,0.19,53,296,YES
Inside Sales,Bali,2017Q1,5494.2,2737.09,0.22,0.17,45,78,YES
Outside Sales,Jawa,2017Q1,4878.12,5690.66,0.14,0.24,39,215,NO
Account Management,Sumatra,2017Q1,4891.31,1757.94,0.27,0.17,39,207,YES
Business Development,Kalimantan,2017Q1,5692.61,2614.36,0.27,0.2,52,257,YES
Sales Enablement,Papua,2017Q1,761.34,1637.74,0.5,0.4,6,12,NO
Channel Sales,Sulawesi,2017Q1,544.32,1295.42,0.48,0.5,3,8,NO
Key Accounts,NTB,2017Q1,6801.6,5133.79,0.22,0.29,53,91,YES
Sales Analytics,Bali,2017Q1,1970.65,8007.25,0.35,0.25,16,45,NO
Customer Success,Jawa,2017Q1,2759.64,5018.21,0.26,0.27,23,39,NO
Sales Training,Sumatra,2017Q1,3217.72,6453.26,0.27,0.35,26,114,NO
Strategic Partnerships,Kalimantan,2017Q1,10092.8,5150.07,0.44,0.35,87,260,YES
Sales Support,Papua,2017Q1,7142.5,2021.64,0.31,0.39,59,299,YES
Retail Sales,Sulawesi,2017Q1,7478.24,5751.63,0.22,0.22,59,276,YES
E-commerce Sales,NTB,2017Q1,6554.07,3047.27,0.32,0.29,59,208,YES
Enterprise Sales,Bali,2017Q1,6016.42,1870.56,0.21,0.14,46,104,YES
International Sales,Jawa,2017Q1,7517.25,1914.75,0.11,0.23,58,319,YES
Sales Administration,Sumatra,2017Q1,462.54,1548.03,0.4,0.5,2,6,NO
Sales Engineering,Kalimantan,2017Q1,2555.68,1823.7,0.58,0.38,21,66,YES
Sales Operations,Papua,2017Q1,1461.28,2802.87,0.16,0.22,8,38,NO
Inside Sales,Sulawesi,2017Q1,5076.14,3354.49,0.12,0.23,45,152,YES
Outside Sales,NTB,2017Q1,3367.12,3564.62,0.26,0.22,29,71,NO
Account Management,Bali,2017Q1,4631.73,3991.61,0.2,0.15,36,88,YES
Business Development,Jawa,2017Q1,1854.84,3465.84,0.12,0.21,14,43,NO
Sales Enablement,Sumatra,2017Q1,1106.21,1209.82,0.32,0.54,6,23,NO
Channel Sales,Kalimantan,2017Q1,1174.19,1326.07,0.76,0.56,9,20,NO
Key Accounts,Papua,2017Q1,3178.57,2753.09,0.33,0.26,23,100,YES
Sales Analytics,Sulawesi,2017Q1,10872.03,6965.54,0.43,0.31,88,511,YES
Customer Success,NTB,2017Q1,2402.55,2682.56,0.31,0.23,17,46,NO
Sales Training,Bali,2017Q1,4659.09,3312.19,0.31,0.29,34,162,YES
Strategic Partnerships,Jawa,2017Q1,5631.58,7111.86,0.4,0.27,39,130,NO
Sales Support,Sumatra,2017Q1,6410.97,5167.64,0.22,0.35,57,148,YES
Retail Sales,Kalimantan,2017Q1,5128.04,5035.1,0.1,0.19,39,155,YES
E-commerce Sales,Papua,2017Q1,8011.04,2624.08,0.36,0.22,72,161,YES
Enterprise Sales,Sulawesi,2017Q1,3981.18,4908.34,0.15,0.2,29,112,NO
International Sales,NTB,2017Q1,6974.44,3502.58,0.16,0.3,59,159,YES
Sales Administration,Bali,2017Q1,924.49,1480.59,0.67,0.38,9,43,NO
Sales Engineering,Jawa,2017Q1,1612.96,1313.15,0.58,0.52,12,46,YES
Sales Operations,Sumatra,2017Q1,8694.33,2635.53,0.29,0.18,70,292,YES
Inside Sales,Kalimantan,2017Q1,8754.11,6897.34,0.18,0.2,69,139,YES
Outside Sales,Papua,2017Q1,8912.49,6715.68,0.3,0.23,75,308,YES
Account Management,Sulawesi,2017Q1,194.46,3504.24,0.09,0.21,3,7,NO
Business Development,NTB,2017Q1,2121.08,5141.62,0.18,0.17,16,27,NO
Sales Enablement,Bali,2017Q1,3349.01,2302.46,0.48,0.44,30,158,YES
Channel Sales,Jawa,2017Q1,458.97,963.89,0.48,0.46,2,5,NO
Key Accounts,Sumatra,2017Q1,2228.63,6471.06,0.37,0.29,16,35,NO
Sales Analytics,Kalimantan,2017Q1,8445.69,3077.38,0.4,0.32,75,163,YES
Customer Success,Papua,2017Q1,6574.68,3666.01,0.13,0.27,51,94,YES
Sales Training,Sulawesi,2017Q1,2055.12,2661.68,0.26,0.29,15,44,NO
Strategic Partnerships,NTB,2017Q1,2823.42,3194.68,0.43,0.39,20,112,NO
Sales Support,Bali,2017Q1,3239.51,5931.71,0.13,0.35,26,64,NO
Retail Sales,Jawa,2017Q1,6637.16,2050.04,0.11,0.18,58,226,YES
E-commerce Sales,Sumatra,2017Q1,4615.13,5055.24,0.41,0.3,36,205,NO
Enterprise Sales,Kalimantan,2017Q1,2305.94,1752.52,0.26,0.16,16,40,YES
International Sales,Papua,2017Q1,4923.33,2386.64,0.14,0.22,36,177,YES
Sales Administration,Sulawesi,2017Q1,2085.44,1419.88,0.4,0.45,14,75,YES
Sales Engineering,NTB,2017Q1,1331.8,1316.72,0.54,0.4,9,35,YES
Sales Operations,Bali,2017Q1,2481.94,5640.57,0.29,0.17,16,61,NO
Inside Sales,Jawa,2017Q1,4341.5,5376.33,0.1,0.21,38,153,NO
Outside Sales,Sumatra,2017Q1,749.07,4567.02,0.2,0.21,3,10,NO
Account Management,Kalimantan,2017Q1,1178.32,2571.71,0.18,0.15,6,24,NO
Business Development,Papua,2017Q1,1567.08,3563.28,0.09,0.17,14,70,NO
Sales Enablement,Sulawesi,2017Q1,2894.57,1529.48,0.5,0.5,22,100,YES
Channel Sales,NTB,2017Q1,266.83,1546.86,0.68,0.54,3,5,NO
Key Accounts,Bali,2017Q1,4512.05,6953.9,0.35,0.29,36,187,NO
Sales Analytics,Jawa,2017Q1,694.63,4099.72,0.13,0.33,4,16,NO
Customer Success,Sumatra,2017Q1,7411.32,1738.17,0.38,0.2,57,327,YES
Sales Training,Kalimantan,2017Q1,4320.35,6190.56,0.43,0.39,30,73,NO
Strategic Partnerships,Papua,2017Q1,6716.29,4232.76,0.52,0.31,50,232,YES
Sales Support,Sulawesi,2017Q1,8978.01,6964.4,0.27,0.35,69,350,YES
Retail Sales,NTB,2017Q1,6348.12,4523.73,0.24,0.18,42,220,YES
E-commerce Sales,Bali,2017Q1,2144.53,5265.35,0.29,0.3,17,78,NO
Enterprise Sales,Jawa,2017Q1,1688.08,1309.51,0.08,0.16,12,49,YES
International Sales,Sumatra,2017Q1,5381.14,3792.01,0.26,0.28,41,82,YES
Sales Administration,Kalimantan,2017Q1,724.03,1027.4,0.32,0.52,3,6,NO
Sales Engineering,Papua,2017Q1,2023.63,674.63,0.61,0.43,17,33,YES
Sales Operations,Sulawesi,2017Q1,7321,6309.39,0.08,0.18,64,199,YES
Inside Sales,NTB,2017Q1,1114.29,1902.07,0.22,0.22,5,13,NO
Outside Sales,Bali,2017Q1,627,5566.95,0.18,0.18,4,21,NO
Account Management,Jawa,2017Q1,1650.12,4654.18,0.08,0.17,12,58,NO
Business Development,Sumatra,2017Q1,2153.98,4467.77,0.22,0.16,17,53,NO
Sales Enablement,Kalimantan,2017Q1,2157.03,1955.4,0.4,0.46,17,95,YES
Channel Sales,Papua,2017Q1,566.09,1931.46,0.34,0.46,5,21,NO
Key Accounts,Sulawesi,2017Q1,865.21,7752.64,0.4,0.32,3,6,NO
Sales Analytics,NTB,2017Q1,7016.4,4599.71,0.28,0.33,50,116,YES
Customer Success,Bali,2017Q1,7465.78,4340.2,0.34,0.23,58,260,YES
Sales Training,Jawa,2017Q1,4395.74,2710.01,0.27,0.36,34,105,YES
Strategic Partnerships,Sumatra,2017Q1,4973.9,6641.9,0.25,0.35,36,144,NO
Sales Support,Kalimantan,2017Q1,8332.63,7009.19,0.35,0.39,72,173,YES
Retail Sales,Papua,2017Q1,5372.96,2423.15,0.14,0.18,39,213,YES
E-commerce Sales,Sulawesi,2017Q1,7241.89,7593.62,0.39,0.23,64,234,NO
Enterprise Sales,NTB,2017Q1,5200.53,2036.59,0.13,0.19,40,123,YES
International Sales,Bali,2017Q1,4832.32,5214.04,0.16,0.28,39,165,NO
Sales Administration,Jawa,2017Q1,2021.67,1348.98,0.43,0.52,17,62,YES
Sales Engineering,Sumatra,2017Q1,956.59,1951.01,0.18,0.52,9,24,NO
Sales Operations,Kalimantan,2017Q1,9150.13,2336.17,0.32,0.2,81,181,YES
Inside Sales,Papua,2017Q1,2436.48,4861.21,0.13,0.23,18,98,NO
Outside Sales,Sulawesi,2017Q1,5324.37,5748.26,0.17,0.2,42,201,NO
Account Management,NTB,2017Q1,2643.84,2312.94,0.17,0.17,21,97,YES
Business Development,Bali,2017Q1,819.69,5111.37,0.17,0.2,3,10,NO
Sales Enablement,Jawa,2017Q1,3264.22,1368.65,0.44,0.52,26,92,YES
Channel Sales,Sumatra,2017Q1,839.09,931.68,0.36,0.58,5,25,NO
Key Accounts,Kalimantan,2017Q1,6506.38,4541.5,0.17,0.25,50,102,YES
Sales Analytics,Papua,2017Q1,4336.68,7056.19,0.28,0.3,29,102,NO
Customer Success,Sulawesi,2017Q1,5469.36,2551.65,0.35,0.3,40,145,YES
Sales Training,NTB,2017Q1,6673.97,4627.2,0.2,0.36,50,258,YES
Strategic Partnerships,Bali,2017Q1,1898.27,5917.28,0.33,0.38,16,37,NO
Sales Support,Jawa,2017Q1,5667.55,5476.41,0.16,0.26,51,103,YES
Retail Sales,Sumatra,2017Q1,8073.5,6627.84,0.24,0.22,68,206,YES
E-commerce Sales,Kalimantan,2017Q1,4691.07,7111.7,0.19,0.3,39,155,NO
Enterprise Sales,Papua,2017Q1,193.56,3262.29,0.15,0.18,2,4,NO
International Sales,Sulawesi,2017Q1,5328.69,4103.37,0.24,0.25,38,83,YES
Sales Administration,NTB,2017Q1,68.4,1338.09,0.18,0.45,2,3,NO
Sales Engineering,Bali,2017Q1,798.13,1981.94,0.2,0.5,6,24,NO
Sales Operations,Jawa,2017Q1,6462.35,5907.17,0.3,0.17,52,250,YES
Inside Sales,Sumatra,2017Q1,1071.53,2499.88,0.13,0.2,6,17,NO
Outside Sales,Kalimantan,2017Q1,7779.73,3113.8,0.18,0.19,66,379,YES
Account Management,Papua,2017Q1,2971.15,3492.73,0.28,0.15,24,125,NO
Business Development,Sulawesi,2017Q1,4916.79,4592.51,0.21,0.2,36,194,YES
Sales Enablement,NTB,2017Q1,2722.74,829.77,0.42,0.52,23,65,YES
Channel Sales,Bali,2017Q1,261.16,666.37,0.3,0.5,3,6,NO
Key Accounts,Jawa,2017Q1,4925.3,6759.91,0.3,0.32,39,138,NO
Sales Analytics,Sumatra,2017Q1,1239.74,5210.31,0.12,0.24,9,32,NO
Customer Success,Kalimantan,2017Q1,6894.48,5274.23,0.24,0.2,58,300,YES
Sales Training,Papua,2017Q1,938.76,7070.08,0.48,0.34,6,21,NO
Strategic Partnerships,Sulawesi,2017Q1,519.8,7087.95,0.25,0.39,2,4,NO
Sales Support,NTB,2017Q1,6121.43,6096.66,0.4,0.31,50,242,YES
Retail Sales,Bali,2017Q1,890.71,2570.14,0.14,0.22,5,18,NO
E-commerce Sales,Jawa,2017Q1,4438.12,7438.19,0.22,0.31,34,141,NO
Enterprise Sales,Sumatra,2017Q1,1109.03,5139.2,0.22,0.17,8,31,NO
International Sales,Kalimantan,2017Q1,7720.34,1671.97,0.23,0.28,57,197,YES
Sales Administration,Papua,2017Q1,977.36,1666.74,0.7,0.43,6,31,NO
Sales Engineering,Sulawesi,2017Q1,2155.71,548.8,0.32,0.54,15,49,YES
Sales Operations,NTB,2017Q1,4750.72,3572.52,0.3,0.19,39,218,YES
Inside Sales,Bali,2017Q1,6515.16,5152.92,0.1,0.21,56,291,YES
Outside Sales,Jawa,2017Q1,7619.62,5424.77,0.1,0.18,60,213,YES
Account Management,Sumatra,2017Q1,5110.2,3760.6,0.22,0.16,45,109,YES
Business Development,Kalimantan,2017Q1,875.28,1316.2,0.13,0.17,6,22,NO
Sales Enablement,Papua,2017Q1,1008.76,905.59,0.32,0.48,9,17,YES
Channel Sales,Sulawesi,2017Q1,2005.95,1441.24,0.22,0.48,14,50,YES
Key Accounts,NTB,2017Q1,1214.74,5632.96,0.22,0.26,11,62,NO
Sales Analytics,Bali,2017Q1,3378.77,4361.41,0.14,0.32,30,155,NO
Customer Success,Jawa,2017Q1,7182.89,5665.71,0.27,0.22,62,134,YES
Sales Training,Sumatra,2017Q1,4035.93,2651.73,0.25,0.33,34,142,YES
Strategic Partnerships,Kalimantan,2017Q1,826.75,4313.15,0.3,0.33,6,34,NO
Sales Support,Papua,2017Q1,964.79,3285.55,0.22,0.34,9,48,NO
Retail Sales,Sulawesi,2017Q1,5713.72,2741.72,0.1,0.18,48,240,YES
E-commerce Sales,NTB,2017Q1,10530.88,4025.25,0.32,0.31,114,343,YES
Enterprise Sales,Bali,2017Q1,2435.88,2597.46,0.24,0.2,15,56,NO
International Sales,Jawa,2017Q1,7719.58,2028.05,0.2,0.29,63,110,YES
Sales Administration,Sumatra,2017Q1,597.04,979.04,0.7,0.54,3,9,NO
Sales Engineering,Kalimantan,2017Q1,843.61,1554.77,0.45,0.47,6,31,NO
Sales Operations,Papua,2017Q1,2434.91,3677.47,0.27,0.19,18,62,NO
Inside Sales,Sulawesi,2017Q1,1235.51,4651,0.22,0.2,8,23,NO
Outside Sales,NTB,2017Q1,6534,4579.72,0.31,0.2,57,113,YES
Account Management,Bali,2017Q1,5087.03,3000.7,0.13,0.19,38,153,YES
Business Development,Jawa,2017Q1,5861.04,4389.51,0.15,0.17,42,158,YES
Sales Enablement,Sumatra,2017Q1,2280.96,1118.49,0.6,0.54,17,39,YES
Channel Sales,Kalimantan,2017Q1,2825.93,791.8,0.8,0.5,23,55,YES
Key Accounts,Papua,2017Q1,4564.93,5080,0.42,0.3,34,100,NO
Sales Analytics,Sulawesi,2017Q1,6119.93,6798.27,0.23,0.32,50,226,NO
Customer Success,NTB,2017Q1,4318.98,4196.94,0.13,0.28,34,148,YES
Sales Training,Bali,2017Q1,6834.77,3865.74,0.38,0.26,54,290,YES
Strategic Partnerships,Jawa,2017Q1,10130.28,5676.7,0.29,0.36,75,190,YES
Sales Support,Sumatra,2017Q1,9949.44,4289.44,0.13,0.3,87,176,YES
Retail Sales,Kalimantan,2017Q1,4938.02,4417.44,0.22,0.21,34,196,YES
E-commerce Sales,Papua,2017Q1,5054.52,4381.57,0.36,0.29,38,184,YES
Enterprise Sales,Sulawesi,2017Q1,3632.07,2637.23,0.08,0.15,30,82,YES
International Sales,NTB,2017Q1,3378.63,5594.66,0.13,0.29,28,64,NO
Sales Administration,Bali,2017Q1,435.99,975.57,0.43,0.4,3,5,NO
Sales Engineering,Jawa,2017Q1,1364.73,1223.96,0.41,0.49,10,28,YES
Sales Operations,Sumatra,2017Q1,3148.6,3284.57,0.27,0.17,23,123,NO
Inside Sales,Kalimantan,2017Q1,8096.66,5087.07,0.24,0.18,65,244,YES
Outside Sales,Papua,2017Q1,9353.76,2992.45,0.12,0.18,74,414,YES
Account Management,Sulawesi,2017Q1,4047.64,5022.5,0.12,0.17,33,139,NO
Business Development,NTB,2017Q1,1420.47,3786.19,0.16,0.14,10,31,NO
Sales Enablement,Bali,2017Q1,2213.68,1031.6,0.56,0.48,16,59,YES
Channel Sales,Jawa,2017Q1,2530.81,1048.05,0.66,0.56,23,94,YES
Key Accounts,Sumatra,2017Q1,882.69,2631.4,0.4,0.24,6,34,NO
Sales Analytics,Kalimantan,2017Q1,3750.41,4783.26,0.2,0.32,29,89,NO
Customer Success,Papua,2017Q1,4247.51,4200.96,0.28,0.26,35,99,YES
Sales Training,Sulawesi,2017Q1,6121.12,3825.94,0.45,0.34,46,253,YES
Strategic Partnerships,NTB,2017Q1,8413.13,5836.84,0.25,0.34,72,289,YES
Sales Support,Bali,2017Q1,1043.94,2624.24,0.18,0.3,8,19,NO
Retail Sales,Jawa,2017Q1,1880.83,5322.77,0.2,0.19,15,68,NO
E-commerce Sales,Sumatra,2017Q1,1702.47,4336.68,0.18,0.29,12,66,NO
Enterprise Sales,Kalimantan,2017Q1,4982.53,3804.77,0.28,0.18,40,213,YES
International Sales,Papua,2017Q1,3951.46,2046.08,0.19,0.25,28,152,YES
Sales Administration,Sulawesi,2017Q1,196.3,1046.87,0.18,0.38,2,6,NO
Sales Engineering,NTB,2017Q1,2269.09,1961.31,0.45,0.45,15,67,YES
Sales Operations,Bali,2017Q1,6561.84,3882.63,0.28,0.2,50,287,YES
Inside Sales,Jawa,2017Q1,944.21,1887.98,0.26,0.18,8,15,NO
Outside Sales,Sumatra,2017Q1,2737.51,4514.98,0.12,0.2,22,85,NO
Account Management,Kalimantan,2017Q1,5326.04,4273.89,0.18,0.15,45,186,YES
Business Development,Papua,2017Q1,928.87,4309.65,0.24,0.17,5,14,NO
Sales Enablement,Sulawesi,2017Q1,2943.29,728.88,0.64,0.5,23,39,YES
Channel Sales,NTB,2017Q1,3528.23,847.09,0.7,0.56,27,98,YES
Key Accounts,Bali,2017Q1,3442.58,8059.85,0.25,0.25,30,88,NO
Sales Analytics,Jawa,2017Q1,9092.82,4671.49,0.44,0.31,75,307,YES
Customer Success,Sumatra,2017Q1,1986.49,4942.24,0.28,0.24,15,49,NO
Sales Training,Kalimantan,2017Q1,7372.07,5425.63,0.2,0.27,58,258,YES
Strategic Partnerships,Papua,2017Q1,2275.89,3034.2,0.16,0.31,20,51,NO
Sales Support,Sulawesi,2017Q1,3028.64,4897.73,0.26,0.35,24,133,NO
Retail Sales,NTB,2017Q1,2872.63,3113.91,0.29,0.24,22,114,NO
E-commerce Sales,Bali,2017Q1,7596.73,2591.93,0.43,0.31,60,199,YES
Enterprise Sales,Jawa,2017Q1,6559.52,5154.78,0.25,0.15,53,224,YES
International Sales,Sumatra,2017Q1,6878.64,2518.6,0.31,0.28,56,129,YES
Sales Administration,Kalimantan,2017Q1,2122.83,1526.46,0.45,0.47,16,58,YES
Sales Engineering,Papua,2017Q1,781.73,1130.31,0.43,0.47,4,9,NO
Sales Operations,Sulawesi,2017Q1,8385.44,2210.6,0.2,0.18,75,204,YES
Inside Sales,NTB,2017Q1,8909.94,3641.26,0.31,0.18,69,335,YES
Outside Sales,Bali,2017Q1,195.87,5741.12,0.26,0.22,3,11,NO
Account Management,Jawa,2017Q1,3338.02,3878.19,0.15,0.15,28,61,NO
Business Development,Sumatra,2017Q1,3869.71,2142.92,0.16,0.15,35,157,YES
Sales Enablement,Kalimantan,2017Q1,1004.46,2258.29,0.4,0.52,9,32,NO
Channel Sales,Papua,2017Q1,2045.85,1591.49,0.4,0.54,15,60,YES
Key Accounts,Sulawesi,2017Q1,728.6,2618.22,0.37,0.28,3,12,NO
Sales Analytics,NTB,2017Q1,1554.09,7203.07,0.25,0.22,14,35,NO
Customer Success,Bali,2017Q1,7593.65,2314.01,0.31,0.21,64,338,YES
Sales Training,Jawa,2017Q1,6757.88,2764.81,0.49,0.3,56,194,YES
Strategic Partnerships,Sumatra,2017Q1,6804.3,3278.19,0.27,0.38,50,143,YES
Sales Support,Kalimantan,2017Q1,1860.47,4097.85,0.25,0.35,16,83,NO
Retail Sales,Papua,2017Q1,2357.65,5126.04,0.25,0.16,15,76,NO
E-commerce Sales,Sulawesi,2017Q1,5392.31,2818.57,0.19,0.3,39,92,YES
Enterprise Sales,NTB,2017Q1,194.6,4000.48,0.24,0.21,2,4,NO
International Sales,Bali,2017Q1,3427.92,2011,0.12,0.24,30,145,YES
Sales Administration,Jawa,2017Q1,2039.24,658.87,0.34,0.52,17,80,YES
